i,j,t_start,t_goal,current,mode
1,0,5,9,5,demand
0,1,19,23,19,demand
1,0,20,24,20,demand
i,j,t_start,t_goal,current,mode
0,1,0,4,0,demand
1,0,2,6,2,rsf-avail
0,1,2,6,2,demand
1,0,4,8,4,demand
2,0,4,8,4,demand
0,2,5,9,5,rse-release
1,0,10,14,10,demand
0,1,23,27,23,demand
0,2,23,27,23,demand
i,j,t_start,t_goal,current,mode
0,1,0,4,0,demand
2,0,16,20,16,demand
0,2,17,21,17,rse-release
1,0,21,25,21,rsf-avail
2,1,21,28,21,demand
i,j,t_start,t_goal,current,mode
2,0,1,5,1,demand
0,2,2,6,2,rse-release
0,1,6,10,6,demand
1,2,7,14,7,demand
2,1,8,15,8,demand
1,0,26,30,26,demand
