-2.15,1.27,30,33
-2.15,1.27,27,51
-2.15,1.27,16,55
-2.15,1.27,1,47
-2.15,1.27,5,43
-2.15,1.27,7,53
-2.15,1.27,2,50
-2.15,1.27,1,54
-2.15,1.27,0,54
-2.15,1.27,0,56
-2.15,1.27,0,53
-2.15,1.27,0,46
-2.15,1.27,0,53
-2.15,1.27,0,60
-2.15,1.27,0,39
-2.15,1.27,0,37
-2.15,1.27,0,56
-2.15,1.27,0,57
-2.15,1.27,0,35
-2.15,1.27,0,54
-2.15,1.27,0,34
-2.15,1.27,0,42
-2.15,1.27,0,39
-2.15,1.27,0,58
-2.15,1.27,0,42
-2.15,1.27,0,57
-2.15,1.27,0,43
-2.15,1.27,0,46
-2.15,1.27,0,42
-2.15,1.27,0,62
-2.15,1.27,0,47
-2.15,1.27,0,35
-2.15,1.27,0,70
-2.15,1.27,0,51
-2.15,1.27,0,53
-2.15,1.27,0,56
-2.15,1.27,0,47
-2.15,1.27,0,54
-2.15,1.27,0,50
-2.15,1.27,0,58
-2.15,1.27,0,34
-2.15,1.27,0,53
-2.15,1.27,0,44
-2.15,1.27,0,39
-2.15,1.27,0,50
-2.15,1.27,0,65
-2.15,1.27,0,48
-2.15,1.27,0,56
-2.15,1.27,0,57
-2.15,1.27,0,45
-2.15,1.27,0,49
