i,j,t_start,t_goal,current,mode
4,3,1,2,1,demand
0,2,5,6,5,demand
3,4,9,10,9,demand
2,0,12,13,12,demand
0,4,13,14,13,demand
4,0,14,15,14,rsf-avail
2,4,14,15,14,demand
0,2,15,16,15,rse-release
0,3,15,16,15,demand
3,2,15,16,15,demand
4,0,16,17,16,rsf-avail
2,0,16,17,16,rsf-avail
2,4,16,17,16,demand
3,2,16,17,16,demand
2,3,27,28,27,demand
4,1,28,29,28,rsf-avail
i,j,t_start,t_goal,current,mode
4,3,1,2,1,demand
0,2,5,6,5,demand
3,4,9,10,9,demand
2,0,12,13,12,demand
0,4,13,14,13,demand
4,0,14,15,14,rsf-avail
2,4,14,15,14,demand
0,2,15,16,15,rse-release
0,3,15,16,15,demand
3,2,15,16,15,demand
4,0,16,17,16,rsf-avail
2,0,16,17,16,rsf-avail
2,4,16,17,16,demand
3,2,16,17,16,demand
2,3,27,28,27,demand
4,1,28,29,28,rsf-avail

i,j,t_start,t_goal,current,mode
4,3,1,2,1,demand
0,2,5,6,5,demand
3,4,9,10,9,demand
2,0,12,13,12,demand
0,4,13,14,13,demand
4,0,14,15,14,rsf-avail
2,4,14,15,14,demand
0,2,15,16,15,rse-release
0,3,15,16,15,demand
3,2,15,16,15,demand
4,0,16,17,16,rsf-avail
2,0,16,17,16,rsf-avail
2,4,16,17,16,demand
3,2,16,17,16,demand
2,3,27,28,27,demand
4,1,28,29,28,rsf-avail

i,j,t_start,t_goal,current,mode
4,3,1,2,1,demand
0,2,5,6,5,demand
3,4,9,10,9,demand
2,0,12,13,12,demand
0,4,13,14,13,demand
4,0,14,15,14,rsf-avail
2,4,14,15,14,demand
0,2,15,16,15,rse-release
0,3,15,16,15,demand
3,2,15,16,15,demand
4,0,16,17,16,rsf-avail
2,0,16,17,16,rsf-avail
2,4,16,17,16,demand
3,2,16,17,16,demand
2,3,27,28,27,demand
4,1,28,29,28,rsf-avail
i,j,t_start,t_goal,current,mode
4,3,1,2,1,demand
0,2,5,6,5,demand
3,4,9,10,9,demand
2,0,12,13,12,demand
0,4,13,14,13,demand
4,0,14,15,14,rsf-avail
2,4,14,15,14,demand
0,2,15,16,15,rse-release
0,3,15,16,15,demand
3,2,15,16,15,demand
4,0,16,17,16,rsf-avail
2,4,16,17,16,demand
3,2,16,17,16,demand
2,3,27,28,27,demand
4,0,28,29,28,rsf-avail
2,0,28,29,28,demand
