demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
64,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
64,0,0,1,0,0,0,0
64,0,0,1,0,0,0,0
64,1,0,1,0,0,0,0
64,1,0,1,0,0,0,0
64,1,0,1,0,0,0,0
64,1,0,1,0,0,0,0
64,1,0,2,0,0,0,0
64,1,0,2,0,0,0,0
64,1,0,2,0,0,0,0
64,1,0,2,0,0,0,0
64,1,0,2,0,0,0,0
64,1,0,2,0,0,0,0
64,1,0,3,0,0,0,0
64,1,0,3,0,0,0,0
64,1,0,3,0,0,0,0
64,1,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,3,0,0,0,0
64,2,0,4,0,0,0,0
64,2,0,4,0,0,0,0
64,2,0,4,0,0,0,0
64,2,0,5,0,0,0,0
64,2,0,5,0,0,0,0
64,2,0,6,0,0,0,0
64,2,0,6,0,0,0,0
64,2,0,6,0,0,0,0
64,2,0,6,0,0,0,0
64,2,0,6,0,0,0,0
64,3,0,6,0,0,0,0
64,3,0,6,0,0,0,0
64,3,0,6,0,0,0,0
64,3,0,6,0,0,0,0
64,3,0,6,0,0,0,0
64,3,0,6,0,0,0,0
64,3,0,6,0,0,0,0
64,3,0,6,0,0,0,0
64,3,0,6,0,0,0,0
64,3,0,6,0,0,0,0
64,3,0,7,0,0,0,0
64,4,0,7,0,0,0,0
64,4,0,7,0,0,0,0
64,4,0,7,0,0,0,0
64,5,0,7,0,0,0,0
64,5,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,6,0,7,0,0,0,0
64,7,0,8,0,0,0,0
64,7,0,8,0,0,0,0
64,7,0,8,0,0,0,0
64,7,0,9,0,0,0,0
64,7,0,9,0,0,0,0
64,8,0,9,0,0,0,0
64,8,0,9,0,0,0,0
64,8,0,9,0,0,0,0
64,8,0,9,0,0,0,0
64,8,0,9,0,0,0,0
64,9,1,9,0,0,0,0
64,9,1,10,0,0,0,0
64,9,1,10,0,0,0,0
64,10,1,10,0,0,0,0
64,10,1,10,0,0,0,0
64,10,1,10,0,0,0,0
64,10,1,10,0,0,0,0
64,10,2,10,0,0,0,0
64,10,2,11,0,0,0,0
64,10,2,11,0,0,0,0
64,10,2,11,0,0,0,0
64,10,2,11,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,12,0,0,0,0
64,10,2,13,0,0,0,0
64,10,2,13,0,0,0,0
64,10,2,13,0,0,0,0
64,10,2,13,0,0,0,0
64,10,2,13,0,0,0,0
64,10,2,13,0,0,0,0
64,10,2,13,0,0,0,0
64,10,2,13,0,0,0,0
64,11,3,13,0,0,0,0
64,11,3,13,0,0,0,0
64,11,3,13,0,0,0,0
64,11,3,13,0,0,0,0
64,11,3,13,0,0,0,0
64,11,3,13,0,0,0,0
64,11,3,14,0,0,0,0
64,11,3,14,0,0,0,0
64,11,3,14,0,0,0,0
64,11,3,14,0,0,0,0
64,11,3,14,0,0,0,0
64,11,3,14,0,0,0,0
64,11,3,14,0,0,0,0
64,12,3,14,0,0,0,0
64,12,3,14,0,0,0,0
64,13,3,14,0,0,0,0
64,13,3,14,0,0,0,0
64,13,3,15,0,0,0,0
64,13,3,15,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,13,3,16,0,0,0,0
64,14,3,16,0,0,0,0
64,14,3,16,0,0,0,0
64,15,3,16,0,0,0,0
64,15,3,16,0,0,0,0
64,15,3,17,0,0,0,0
64,15,3,17,0,0,0,0
64,15,3,17,0,0,0,0
64,15,4,18,0,0,0,0
64,15,4,18,0,0,0,0
64,15,4,18,0,0,0,0
64,15,4,18,0,0,0,0
64,15,4,18,0,0,0,0
64,15,4,18,0,0,0,0
64,15,4,18,0,0,0,0
64,15,4,18,0,0,0,0
64,15,4,19,0,0,0,0
64,15,4,19,0,0,0,0
64,15,4,20,0,0,0,0
64,15,4,20,0,0,0,0
64,15,4,20,0,0,0,0
64,15,4,20,0,0,0,0
64,15,4,20,0,0,0,0
64,16,4,20,0,0,0,0
64,17,4,20,0,0,0,0
64,17,4,20,0,0,0,0
64,17,4,20,0,0,0,0
64,17,4,20,0,0,0,0
64,17,4,21,0,0,0,0
64,17,4,21,0,0,0,0
64,17,4,22,0,0,0,0
64,17,4,22,0,0,0,0
64,17,4,22,0,0,0,0
64,17,4,22,0,0,0,0
64,17,4,22,0,0,0,0
64,17,4,23,0,0,0,0
64,17,4,23,0,0,0,0
64,17,4,23,0,0,0,0
64,17,4,23,0,0,0,0
64,17,4,23,0,0,0,0
64,17,4,23,0,0,0,0
64,18,4,24,0,0,0,0
64,18,4,24,0,0,0,0
64,19,4,24,0,0,0,0
64,19,4,24,0,0,0,0
64,19,4,24,0,0,0,0
64,19,4,24,0,0,0,0
64,19,4,24,0,0,0,0
64,19,4,24,0,0,0,0
64,19,4,24,0,0,0,0
64,19,4,24,0,0,0,0
64,20,5,24,0,0,0,0
64,20,5,25,0,0,0,0
64,20,5,25,0,0,0,0
64,20,5,25,0,0,0,0
64,22,6,25,0,0,0,0
64,22,6,25,0,0,0,0
64,22,6,25,0,0,0,0
64,22,6,25,0,0,0,0
64,22,6,25,0,0,0,0
64,22,7,25,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,22,7,26,0,0,0,0
64,23,7,26,0,0,0,0
64,24,7,26,0,0,0,0
64,24,7,26,0,0,0,0
64,24,7,26,0,0,0,0
64,24,7,27,0,0,0,0
64,25,7,27,0,0,0,0
64,25,7,27,0,0,0,0
64,25,7,29,0,0,0,0
64,25,7,29,0,0,0,0
64,25,7,29,0,0,0,0
64,25,7,29,0,0,0,0
64,25,7,29,0,0,0,0
64,25,7,30,1,0,0,0
64,25,7,30,2,0,0,0
64,25,7,31,2,0,0,0
64,25,7,31,2,0,0,0
64,25,7,31,2,0,0,0
64,25,7,31,3,0,0,0
64,25,7,31,3,0,0,0
64,25,7,31,4,0,0,0
64,25,7,31,4,0,0,0
