1,3.8245108127593994
2,2.39139461517334
3,3.5799574851989746
4,2.8500444889068604
5,2.8240582942962646
6,2.824370861053467
7,2.9124984741210938
8,2.4298036098480225
9,2.469308376312256


1,10.674450159072876
2,10.540244102478027
3,7.852431058883667
4,7.861204147338867
5,8.899754047393799
6,10.016562938690186
7,11.749488592147827
8,10.526007413864136
9,9.942969799041748

20,9.990598917007446
40,9.202497243881226

reset employee relocation
1,19.520777702331543
2,8.540112018585205
3,17.636343955993652
4,27.885109663009644
5,12.59372091293335
6,12.057812929153442
7,11.401062726974487
8,12.447976112365723
9,8.499527215957642
10,16.61751365661621
11,13.4241464138031
12,11.127744197845459
13,9.970470905303955
14,12.001546859741211
15,10.856711149215698
